,SNR,MMSE,MMSE_ste
0,8.0,0.022357827546054688,0.0008524157987197346
1,8.25,0.01878365014526563,0.0007303972747369277
2,8.5,0.01588440547590625,0.0006406317656518104
3,8.75,0.013477321644515629,0.0005702508359003436
4,9.0,0.011503219487562492,0.0005136656998843314
5,9.25,0.009866342220039062,0.00046301791245589413
6,9.5,0.008493711614476561,0.00041497602228415115
7,9.75,0.007318935686664063,0.0003710821971723982
8,10.0,0.006316778631390627,0.00033544389953228296
9,10.25,0.005448505324437496,0.0003050350128274459
10,10.5,0.0047036511792109366,0.00027933087052887105
11,10.75,0.004051589586398437,0.000256727457848358
12,11.0,0.0034916176781093753,0.00023681599913494852
13,11.25,0.003008553260242189,0.00022003796867548224
14,11.5,0.0026005329027421866,0.0002063675952723729
15,11.75,0.002257418276875,0.00019492258053824927
16,12.0,0.0019690259347499997,0.0001847143299166402
17,12.25,0.0017223425435312504,0.00017537757297232255
18,12.5,0.001512869691804688,0.00016658223761395913
19,12.75,0.0013288174083046875,0.00015797765907192085
20,13.0,0.0011695651194609375,0.00014975323145018904
21,13.25,0.0010278219493515624,0.00014176527918205537
22,13.5,0.0009019410536015625,0.00013414059028528003
23,13.75,0.0007905010447031249,0.00012678123169299478
24,14.0,0.0006932501355546876,0.00011988608615276687
25,14.25,0.0006074683005703125,0.00011332250962220062
26,14.5,0.0005327965524921874,0.00010697130692677583
27,14.75,0.000464632579625,0.00010027719357029543
28,15.0,0.00040766700090624997,9.44928048680206e-05
