,lambdas,diag_contrib_MMSE,offdiag_contrib_MMSE,diag_contrib_MMSE_std,offdiag_contrib_MMSE_std
0,0.0,0.9119222860952375,0.061326163142240556,9.081940839817736e-05,0.008389085692643825
1,0.0005246335060000001,0.9119064343261781,0.0613827078012922,9.371331117357684e-05,0.008400228157651268
2,0.0016636427499999997,0.9118181200232719,0.06091213820237647,9.948971622544962e-05,0.008389320723716866
3,0.0023902340420000005,0.9117417559344968,0.06059823627181249,0.00010451813615160318,0.008399661568023213
4,0.003166471315999998,0.9116836858661594,0.060200085355262445,0.00010847484236727918,0.008386526501793832
5,0.004239722136999999,0.9115756449068391,0.05981307438771406,0.00011386520237574041,0.008390937976923233
6,0.006368188211999999,0.9114118145282312,0.05899531109145624,0.0001242084859893514,0.008383593781894405
7,0.007680210699999997,0.9112884547776267,0.0584215676645484,0.00013253425608900584,0.008380095706395634
8,0.009758346796,0.9111157861328312,0.0575876120230296,0.000142996729205916,0.008379856413139363
9,0.011207920581000003,0.9109906849083593,0.05699524799053277,0.00014634398543855566,0.008371072033868412
10,0.012918263006999999,0.910854235276439,0.05626884361852813,0.00015693257029357024,0.00836195453551512
11,0.014449606637000009,0.9106871438363797,0.05564691706728588,0.00016259972061601882,0.00837218178162437
12,0.01622793284500001,0.9105350385930014,0.05486214552665469,0.0001699077756446435,0.008361852012976071
13,0.019193169813999992,0.9102815550818859,0.0536607719538452,0.00018045449839103428,0.00835212467745549
14,0.02354898215300002,0.9099074284480124,0.051871140230626535,0.0001992545089645146,0.00834227917050586
15,0.025730823415999998,0.9097109391902141,0.05099209190947338,0.000207070926668616,0.008335894517845936
16,0.03143809904100001,0.9092245286207765,0.048639340820334276,0.00022451456876955802,0.008333519313268362
17,0.03395485239600002,0.9089858918644687,0.04761899198086254,0.00023291888163138135,0.008326715475169982
18,0.040005727135999994,0.9084494261756422,0.04505675443214212,0.0002556719767644639,0.008310548095653188
19,0.04656098562,0.9078768081430063,0.04238467707712026,0.0002713275669470677,0.008284504651670148
20,0.05040501522400003,0.9075353473369937,0.040734003342903155,0.00028364930318143186,0.00827717267369306
21,0.054030844756000014,0.9072050769042985,0.03920245990455147,0.0002968011383745138,0.008274398072845255
22,0.057327579542000025,0.9069142391263579,0.03781789231527029,0.00030584220291082363,0.00826763270276233
23,0.06063891934099998,0.9066394275841297,0.0364574283541609,0.00031512785844043224,0.008253529621765442
24,0.06750325892899994,0.9060182302621687,0.03355274385892972,0.000333810931001431,0.008234786324794598
25,0.07128673578300003,0.9056788610839843,0.03195206129812185,0.00034624994038177193,0.008224677804933477
26,0.07743869445699997,0.9051139123534921,0.02934184504582813,0.00035858250802920977,0.008205114417611271
27,0.08288773963800007,0.9046166476675438,0.02700814856889213,0.0003747102985423533,0.008187617417770408
28,0.08682956273599997,0.9042555385178954,0.025310428748431237,0.0003833904704225474,0.008180110448096321
29,0.09079138037900002,0.9038947501314796,0.023635314659687445,0.00039497006448357405,0.008170451317962027
30,0.09504624519400004,0.9035017794095452,0.021802880953290683,0.0004032258094114444,0.008164154392065193
31,0.10002637742499998,0.9030607179612531,0.019721040978121794,0.00041732012987181864,0.008155987883607801
32,0.11082756991699995,0.9020744106820656,0.015070366962175008,0.00044298199754203943,0.00812512861345976
33,0.1177838901210001,0.9014535941255938,0.012108108661354677,0.000461868055954788,0.008108433657749917
34,0.12439875511299994,0.9008212767615594,0.009266331599332744,0.0004757068253408788,0.008085748483212037
35,0.134202162522,0.8999429690316937,0.0050871778283514855,0.0004975856518950771,0.008051173130438703
36,0.139895000838,0.8993932915790126,0.002618217397812472,0.000514466363032623,0.008033444908948415
37,0.14470845359800003,0.8989571245868093,0.0005294509652483903,0.0005299113132516764,0.008020367946544232
38,0.151123259527,0.8983564892578031,-0.0022039213679718728,0.0005377608736742599,0.008011868349946355
39,0.16200890041899998,0.897386683255714,-0.006920834209718762,0.0005599339625752302,0.007969674155680716
40,0.16967421712999994,0.8966701717435281,-0.010125247051559417,0.0005789671587668711,0.0079602984349738
41,0.1829277123909999,0.8954438116924562,-0.015839291240990684,0.0006073133629002763,0.007918211589568347
42,0.19162477151200005,0.8946226015061531,-0.0195868045747579,0.0006244121809295343,0.00788456123018232
43,0.1985244572670001,0.8939989470027061,-0.02248722449667504,0.0006396557225346848,0.007865404513227462
44,0.20497229321599988,0.8934244270207266,-0.025270655517617157,0.0006497096855026634,0.00785229737861731
45,0.20982961400699998,0.8929672761418249,-0.02730559185319059,0.0006633864426618597,0.007826021968282767
46,0.21753923030500008,0.8922699879807798,-0.030584062218365647,0.0006752132368922507,0.007813270217431953
47,0.22982553638300013,0.8911364886944015,-0.03575390728294847,0.0007003935903601104,0.00776158570268623
48,0.24530035581399992,0.8896985826697609,-0.04224684917745938,0.0007284702055022794,0.007718326538971437
49,0.258524288506,0.88852755934495,-0.047769598106878065,0.0007540578148086431,0.007671231886349491
50,0.2661614356440001,0.8878192278583266,-0.05089151893031722,0.0007693236222001803,0.007646311450875358
51,0.2749529543409999,0.8870287304687345,-0.05452194223255944,0.000783904654136339,0.007626359061601829
52,0.2852171705380001,0.8861224609374876,-0.05872338003297504,0.0008012770388200287,0.0075903997852314374
53,0.29240636532800024,0.8854793253267406,-0.06161632624699846,0.000814406856920876,0.00756945827324754
54,0.304097846586,0.884413475623464,-0.06637602717480631,0.0008338859811171528,0.007532345589552247
55,0.31690956122399977,0.8832631620905562,-0.07147225520211879,0.0008521183105700234,0.007487966685615308
56,0.32432384231199995,0.8826237522535875,-0.07445116079465315,0.0008647369617887733,0.007471055416057413
