,SNR,MMSE,MMSE_ste
0,8.0,0.02438904935694532,0.0016615585428417005
1,8.25,0.020270104646835936,0.0012373745855745783
2,8.5,0.016995627147179684,0.0010782792410206118
3,8.75,0.01445580182549218,0.0009710292778883216
4,9.0,0.012477181365867188,0.0009018688324798217
5,9.25,0.010794180143148441,0.0008325040431841798
6,9.5,0.009315354267390627,0.0007592689498083822
7,9.75,0.008032223735210935,0.000691726434011393
8,10.0,0.0069811227637578115,0.0006369994982740431
9,10.25,0.0060490887392421885,0.0005881132219865605
10,10.5,0.005242922075132812,0.0005435544475176755
11,10.75,0.004551754825046876,0.0005013433394994054
12,11.0,0.003946866580140624,0.00045430054370574735
13,11.25,0.0034011576886875004,0.00040995755006456504
14,11.5,0.0029009549140234367,0.0003586612706012395
15,11.75,0.002477502061195312,0.00031725896005122824
16,12.0,0.002108814339125001,0.000282656655656282
17,12.25,0.0017954172935000007,0.0002558573504059977
18,12.5,0.0015356345870468752,0.00023299521746675175
19,12.75,0.0013052645910468757,0.0002126796547049316
20,13.0,0.0011064496404296874,0.00019325389048006325
21,13.25,0.0009412843903437501,0.0001774664880013062
22,13.5,0.0007938085064765624,0.00016213687049663182
23,13.75,0.0006735950670468748,0.0001492950852047757
24,14.0,0.0005671669833515627,0.0001371365383255041
25,14.25,0.00047597632961718736,0.00012531566163868842
26,14.5,0.00040033621851562513,0.00011461778130171666
27,14.75,0.00033526746693750015,0.00010421125185671574
28,15.0,0.00027979407093749995,9.415232218795633e-05
