,MI_average,MI_stdtot,MI_stetot,MMSE_average,MMSE_stdtot,MMSE_stetot,lambda
0,-0.0,0.0,0.0,0.9372030883813202,0.21217243057470636,0.018753570555025852,0.0
1,8.69246638046875e-05,0.001265475695922582,0.00011185330575170289,0.9371423704399999,0.2121229621510954,0.018749198122802114,0.000761563508
2,0.0004057017245859375,0.0022388520925860117,0.00019788843709265763,0.9364269504905387,0.2120579700417665,0.018743453577648353,0.00239588245
3,0.0007653603954765623,0.0029286749887894197,0.00025886074305805435,0.935702959795008,0.21184489804908352,0.01872462049628497,0.00411726042
4,0.0011496567856249997,0.003502483912842633,0.00030957876572097726,0.934995187274844,0.21156077742934556,0.018699507544173516,0.00590872572
5,0.0017007451680625001,0.004176254411829243,0.00036913222682058677,0.9339021565540079,0.21126091935942834,0.018673003584844517,0.00843361418
6,0.002526020076179687,0.0050031257361350615,0.0004422180168937549,0.9321509429337501,0.2107775040634984,0.01863027530560935,0.0121582975
7,0.0038435858558515616,0.006075339875867935,0.0005369892530299068,0.9295302889118283,0.21002201326539224,0.018563498722301234,0.0180394437
8,0.006009150055617187,0.007487860966218964,0.0006618396582244354,0.9251897530308593,0.20869610449699016,0.01844630383712976,0.0276365803
9,0.008590998344062498,0.008861625990642873,0.0007832644787903165,0.9198884043459683,0.2070819947093889,0.018303635340080705,0.0390399791
10,0.011799275801195316,0.010299082227803286,0.0009103188604096948,0.9132718208922186,0.20507817958395025,0.018126521432150475,0.0532081243
11,0.013811601506749998,0.011098445051567494,0.000980973219573707,0.9091070717384453,0.20377279952519464,0.018011141045704,0.0621174051
12,0.01609447756372656,0.011934606256155191,0.0010548801268148412,0.9042016528255313,0.20225526196633595,0.01787700840838222,0.0722420617
13,0.019022050360367193,0.012920752982657881,0.001142044006509212,0.8981042068832812,0.2003122872456676,0.017705272083299892,0.0852812087
14,0.021667466493164058,0.013746543172475506,0.0012150342368913833,0.8922180265955781,0.19850553152677602,0.017545575930702915,0.0971232127
15,0.025908650025382823,0.014965140427626684,0.0013227440347229722,0.882854970147711,0.19548070611324947,0.01727821661047666,0.116233706
16,0.029011152795867197,0.015790219924807537,0.0013956714481572932,0.876003944138422,0.19337595025651919,0.01709218071809715,0.130319042
17,0.03235263097730469,0.016627130761828392,0.0014696446141705378,0.8686731657775388,0.1910217500216064,0.016884096849299927,0.145599566
18,0.035695776793796874,0.017418161890616565,0.0015395625485825084,0.8610991427873593,0.1886366405446029,0.016673280963667242,0.161001528
19,0.03881946135095312,0.01812044858423806,0.0016016365090071134,0.8540978890680158,0.1864099691681095,0.016476469159943184,0.175501644
20,0.045398063304960934,0.01949841736110286,0.0017234328923051673,0.8388678472454143,0.1817087878726195,0.01606093951323964,0.206406395
21,0.04821493932190623,0.020053595112654123,0.001772504136415892,0.8324370710915938,0.1797539218576605,0.01588815213630356,0.21979662
22,0.05097372807571875,0.020579088720560173,0.001818951648118461,0.8261253933185934,0.17764802058225035,0.015702015002259574,0.233004924
23,0.055783324656875,0.021453275445046407,0.0018962195682318951,0.8148724832644223,0.17433827827434742,0.0154094723485223,0.256271052
24,0.059018023500804685,0.022014857159172334,0.0019458568480129961,0.8072544672058907,0.1721290367477342,0.015214201140428908,0.272089924
