,MI_average,MI_stdtot,MI_stetot,MMSE_average,MMSE_stdtot,MMSE_stetot,lambda
0,-0.0,0.0,0.0,0.9017737951875,0.16792179410400082,0.014842329914993773,0.0
1,0.006307080652460939,0.01754906131919469,0.0015511325327826379,0.8894364397356875,0.16691671942158132,0.014753493024551555,0.031406300267
2,0.009870856071335936,0.021674324465791785,0.0019157577259248581,0.8821279556849217,0.16571486264606214,0.014647262890053478,0.048271081187
3,0.013742117283249998,0.02534521162862587,0.0022402213766511865,0.874236080163078,0.1655078423105247,0.014628964704665725,0.066586501342
4,0.018178704169687497,0.028920171863108753,0.0025562062046855733,0.8648557849522263,0.16414322739595683,0.014508348647190819,0.087643240834
5,0.023692102229484372,0.03276318202494068,0.0028958835228855948,0.8529426861192031,0.16322604141021765,0.01442728009342514,0.114047006671
6,0.029987758158742175,0.03658355455698419,0.003233559938393943,0.8396806931182969,0.16153546776513997,0.014277853082358927,0.144520290389
7,0.03688704345736718,0.040266950452511496,0.0035591292153341995,0.8243698801992347,0.15987975840009655,0.014131507667396893,0.178356788101
8,0.044164004984085944,0.04371925169309769,0.003864272417573853,0.8084049082484454,0.1578793510289901,0.013954694965241276,0.214644347038
9,0.051581955682382816,0.04688697577450888,0.004144262314935575,0.7914618080409916,0.1554351256962181,0.0137386539267974,0.252300603348
10,0.059833271772843755,0.050057157629116,0.004424469450808981,0.7728688141916324,0.15299476871552803,0.013522954805602165,0.295080133705
11,0.06836964208572655,0.053034003185886164,0.004687587910776133,0.753876700723336,0.1508915186272025,0.013337052005603891,0.340361623121
12,0.07660737384319531,0.05564907046523062,0.004918729386586574,0.7355862602153983,0.14783643576010055,0.013067018279052062,0.385070059451
13,0.08543003518270312,0.05821891867423814,0.005145874023487739,0.7150834880220551,0.14619567751502296,0.0129219943688793,0.434154567225
14,0.09397444189871872,0.06049566674279755,0.005347112023279205,0.6964077877188359,0.14364254973265156,0.012696327622860477,0.482975620897
15,0.10365800171051562,0.06286752391397298,0.005556756559497216,0.6757978918445705,0.14137895209156512,0.012496251967624215,0.539925921674
16,0.11334857211164842,0.06503604368696149,0.005748428439074377,0.6540425212746875,0.13861903417223387,0.01225230738308954,0.598611011228
17,0.12299201714936715,0.06702341450704093,0.005924088862025683,0.6337088912657188,0.1364466689396508,0.012060295609692868,0.658844120889
18,0.1327478163139844,0.06886564814933045,0.006086920849649797,0.612967737912664,0.13391296513060583,0.011836345716581133,0.721770985099
19,0.1420771896319453,0.07049074748715096,0.006230560694884129,0.5940924706550158,0.13182656185895875,0.011651931978872201,0.78387142191
20,0.1522115714137656,0.07211581432846324,0.006374197667805793,0.5738333696241795,0.12980222498223273,0.011473004187254832,0.853564346244
21,0.16302308311448435,0.07369952844446802,0.006514179541666772,0.5530981816968827,0.12746086754407743,0.011266055472042184,0.930607568761
22,0.17379047538646092,0.07513770310923937,0.006641297423915586,0.5332945597514063,0.12557766546918675,0.011099602352354711,1.010187061627
23,0.18459065396805466,0.07645577608408609,0.0067577997162421915,0.5138291548111952,0.12359345938032856,0.010924221654766805,1.092984673874
24,0.19566502900977345,0.07767100786982473,0.006865212045793345,0.4944985827658671,0.12133703605923833,0.010724780125820508,1.181134615581
25,0.2054339653990625,0.07865145611959733,0.006951872246545431,0.4778637170735935,0.12009749078731947,0.010615218767400314,1.261698916125
26,0.21644923212574207,0.0796356616401302,0.007038864546251684,0.4593094626164295,0.11761925593210602,0.010396171683463528,1.355882768164
27,0.2275370034571796,0.08052294280418888,0.0071172898622423085,0.44206698351665635,0.11585413188834154,0.010240155285840867,1.45456432097
28,0.23769620866698438,0.08124492715857881,0.0071811048663547716,0.42681800641757833,0.11472412826248142,0.010140276132514482,1.548321192299
29,0.24833276682024213,0.08189785523760183,0.007238816100392807,0.41019653368078124,0.1125027574923029,0.00994393284062413,1.650163601519
30,0.2589365530510704,0.0824580372320611,0.007288329661265402,0.39464851357007064,0.11095938176535543,0.00980751641031872,1.755745512917
31,0.26997496321025,0.08293288809957887,0.007330300944824668,0.37913755642033603,0.10953246615620559,0.009681393697392373,1.870024722629
32,0.281782049224125,0.0833289440381416,0.007365307674810532,0.3625837924091172,0.10791340716708935,0.00953828774859923,1.99738610218
