,bins,0,0.4991,1.0104,2.0145,4.0239,6.0332
0,-7.616867247541254,2.0155665398199647e-16,0.0,0.0,0.0,0.0,5.3420459947688506e-06
1,-7.358668357794093,5.945921292468896e-15,0.0,0.0,0.0,1.7806819982562835e-06,1.2464773987793986e-05
2,-7.100469468046931,1.1495447832106532e-13,0.0,0.0,8.903409991281417e-07,7.122727993025135e-06,3.116193496948498e-05
3,-6.842270578299771,1.6381013160751808e-12,0.0,8.903409991281417e-07,4.451704995640709e-06,9.79375099040956e-06,9.882785090322377e-05
4,-6.584071688552609,1.8346734740042025e-11,0.0,1.7806819982562837e-06,2.6710229973844257e-06,4.8078413952919695e-05,0.00015046762885265584
5,-6.325872798805449,1.681784017837186e-10,0.0,8.903409991281416e-07,1.7806819982562832e-05,0.00010773126089450521,0.00023237900077244554
6,-6.067673909058287,1.2973762423315433e-09,0.0,6.232386993896993e-06,4.451704995640714e-05,0.00021190115779249773,0.0003739432196338192
7,-5.809475019311126,8.595117605446474e-09,1.7806819982562835e-06,2.047784297994726e-05,0.00010060853290147997,0.00038551765262248556,0.0006428262013705188
8,-5.551276129563965,4.9660679498135183e-08,1.0684091989537701e-05,4.5407390955535314e-05,0.0002733346867323397,0.0006499489293635434,0.0011164876129066913
9,-5.293077239816804,2.5326946544048943e-07,2.6710229973844282e-05,0.0001362221728666056,0.0004932489135169906,0.0012820910387445251,0.0018038308642336202
10,-5.0348783500696435,1.1512248429113158e-06,6.588523393548254e-05,0.0003089483266974654,0.0009526648690671116,0.002115450213928473,0.002914976431145541
11,-4.776679460322482,4.700834775221206e-06,0.00019409433780993488,0.0006659750673478493,0.0018260893892118263,0.003454523076617198,0.004327057255762739
12,-4.518480570575321,1.735692840081676e-05,0.00043359606657540536,0.0013978353686311838,0.003268441807799417,0.0054845005546292885,0.006382854622749644
13,-4.26028168082816,5.8269688202741974e-05,0.001013208057007825,0.0028054644882527847,0.005454228960658958,0.00835585027681768,0.009621915177577964
14,-4.002082791080999,0.00017869371048840873,0.0022080456778377977,0.004943173227159423,0.009006689547180317,0.01282803311543848,0.013891100268397509
15,-3.743883901333837,0.0005025760607486495,0.004157002124929307,0.008570422457607477,0.013879525835408833,0.01881646667557449,0.02028463898313683
16,-3.485685011586676,0.0013007850984082694,0.007943622394221207,0.01420806166408712,0.021152721457286777,0.0265392845020122,0.028765136999832602
17,-3.227486121839515,0.0031074310684197546,0.013730838888554406,0.022657397745813358,0.031203780996444615,0.037283919679490796,0.03920349487361109
18,-2.9692872320923542,0.0068690581512436686,0.02322098359826148,0.034097389243611186,0.04424638629267302,0.05001846699002091,0.05157656373849512
19,-2.7110883423451932,0.01408156921004952,0.037118316253653014,0.05031316986073227,0.06009801744115076,0.06629301011308436,0.06768550343572086
20,-2.452889452598032,0.026822036590570513,0.05588225281027888,0.07036899120709317,0.07994193762971907,0.08479607675696588,0.08619480246659622
21,-2.194690562850871,0.04754815577419318,0.08133175992935826,0.09512136132385493,0.10316203088698161,0.1057279936464689,0.10682489375739468
22,-1.9364916731037098,0.07855782258344961,0.11278750742855612,0.12368261023488736,0.12913505851354795,0.12935497274033242,0.13008861372361413
23,-1.6782927833565486,0.12110997648281814,0.14966632195344326,0.15502439408619662,0.15587377939936475,0.15546956458576078,0.15486413270635357
24,-1.4200938936093876,0.1743983661352581,0.18837122586754262,0.1880854264068228,0.18316005999964569,0.1810357063757262,0.17916242891356038
25,-1.1618950038622267,0.23476703133592441,0.22821487591952694,0.21991155576165755,0.21120758215418078,0.2040554729081846,0.20150998799167685
26,-0.9036961141150655,0.29563255797857146,0.2645808540289165,0.24805701542609704,0.23407242935279116,0.2237409123989076,0.22117583998042045
27,-0.6454972243679045,0.34842408618903065,0.2936228870794779,0.26954005339406106,0.25129162427592977,0.24125035848776255,0.23619144093071642
28,-0.3872983346207433,0.3844679571741028,0.31194610484153573,0.2835326525363582,0.26213330662231304,0.24966230024752556,0.2467891698433382
