SNR,MSE,stdtot
0.05,1.034873807406325,0.004574622297876291
0.1,0.9743431908538311,0.0033182683710480435
0.15000000000000002,0.922332806535802,0.002720186482986505
0.2,0.8875918973136055,0.002662112775072912
0.25,0.8544190170049492,0.0023481366258924145
0.3,0.818104088987269,0.002113063918652678
0.35000000000000003,0.7873634587275098,0.002035040811099369
0.4,0.7587536708860317,0.0019556342121077844
0.45,0.7309725627946622,0.0017639430910197159
0.5,0.7064405221664959,0.0017084439814140351
0.55,0.6792667421683674,0.0016245643607942053
0.6000000000000001,0.6585952895450368,0.0015047009442884123
0.6500000000000001,0.6398909942656431,0.001498740723168668
0.7000000000000001,0.6201970423198767,0.0014236876217799403
0.7500000000000001,0.6034945016044669,0.0013488618293919703
0.8,0.5848148369765439,0.0012590034852587781
0.8500000000000001,0.5671723161981639,0.00123478900173955
0.9000000000000001,0.5521705997861458,0.0012065244046010508
0.9500000000000001,0.5394054932527325,0.0011686529151540865
1.,0.5235454533676194,0.0011309910345438461
1.05,0.5126013473773063,0.0011386318841884746
1.1,0.49946454135443774,0.001082434239628031
1.1500000000000001,0.4876508593411501,0.001047002176742796
1.2000000000000002,0.47632041460209856,0.0009988300968801715
1.2500000000000002,0.4654255607851604,0.0009341721216050738
1.3,0.45593789458695033,0.0009595771408806457
1.35,0.4458000513351418,0.0009154123816042041
1.4000000000000001,0.4370346694048973,0.0008568030112373813
1.4500000000000002,0.4280510985013302,0.0008887221085125519
1.5000000000000002,0.4191378139802981,0.0008379228579704671
1.55,0.4120760587390512,0.0008235796813205126
1.6,0.4022347871421515,0.0008342056006503098
1.6500000000000001,0.39638525638657385,0.0007833291823765883
1.7000000000000002,0.38843160034559693,0.000765129855575842
1.7500000000000002,0.3812933082402083,0.0007528417041967742
1.8,0.37471154130415846,0.0007562148666830812
1.85,0.3687627154079721,0.0007618875635396335
1.9000000000000001,0.3630641148422311,0.0007089774510116543
1.9500000000000002,0.3562467664298391,0.0006987670278302443
2.,0.35138958894479805,0.0007185807446252893
2.05,0.34592780074628166,0.0006670965036586767
2.1,0.3398330670077204,0.0006701093502171175
2.15,0.3339748680207207,0.0006519780799065537
2.1999999999999997,0.3290218133666255,0.0006335855656727949
2.25,0.324694439017442,0.000634693138231956
2.3,0.31936834013880966,0.0005982071858606894
2.35,0.31601961137512846,0.0006163040455638564
2.4,0.3102834044145418,0.000627660827564733
2.45,0.30533558482413,0.000570547658519299
2.5,0.30227123799056804,0.0005811298040877993
2.55,0.29837375279756473,0.0005817812612629905
2.6,0.29468427972497596,0.0005663616849445473
2.65,0.2902431210269906,0.0005781086939808308
2.7,0.2870480256469289,0.0005637178295935673
2.75,0.28372039512292746,0.0005287310136612144
2.8,0.278638870564711,0.0005408912286131627
2.85,0.2769677385091639,0.0005318379747420711
2.9,0.27243315869206963,0.0005459076980315302
2.95,0.2691803784348529,0.0005213395428597242
3.,0.2661787321042913,0.0005116841173386835
3.05,0.26325166134315797,0.0005045006518815421
3.1,0.25991984144499436,0.00047295204957343873
3.15,0.25625970330387976,0.0004945205242624432
3.2,0.25438745434655763,0.0004704397754247919
3.25,0.25136259614651607,0.0004689615293367506
3.3,0.2482402594576836,0.0004771750483816617
3.35,0.24470166455678644,0.0004543254016781305
3.4,0.2433056332685273,0.00044291735316749934
3.45,0.24050275149929884,0.0004593199846790564
3.5,0.23821072620033062,0.000450011623715652
3.55,0.23558557419032422,0.0004481333550848549
3.6,0.23291954399725184,0.00042860291805364795
3.65,0.2306830964961378,0.0004264959243459895
3.7,0.22892822017055237,0.00040771768664856595
